Województwo,Dzień,ID,Suma,Ludność,Wskaźnik,
Łódzkie,23.11,12,906,2466322,367,
Pomorskie,23.11,10,959,2333523,411,
Kujawsko-Pomorskie,23.11,5,931,2077775,448,
Podkarpackie,23.11,8,540,2129015,254,
Lubelskie,23.11,14,795,2117619,375,
Zachodniopomorskie,23.11,3,965,1701030,567,
Świętokrzyskie,23.11,4,364,1241546,293,
Warmińsko-Mazurskie,23.11,11,864,1428983,605,
Opolskie,23.11,1,493,986506,500,
Podlaskie,23.11,6,455,1181533,385,
Lubuskie,23.11,15,406,1014548,400,
Śląskie,24.11,0,945,4533565,208,
Mazowieckie,24.11,13,1166,5403412,216,
Małopolskie,24.11,9,486,3400577,143,
Wielkopolskie,24.11,2,630,3493969,180,
Dolnośląskie,24.11,7,1035,2901225,357,
Łódzkie,24.11,12,563,2466322,228,
Pomorskie,24.11,10,979,2333523,420,
Kujawsko-Pomorskie,24.11,5,521,2077775,251,
Podkarpackie,24.11,8,540,2129015,254,
Lubelskie,24.11,14,670,2117619,316,
Zachodniopomorskie,24.11,3,457,1701030,269,
Świętokrzyskie,24.11,4,359,1241546,289,
Warmińsko-Mazurskie,24.11,11,473,1428983,331,
Opolskie,24.11,1,512,986506,519,
Podlaskie,24.11,6,309,1181533,262,
Lubuskie,24.11,15,267,1014548,263,
Śląskie,25.11,0,1941,4533565,428,
Mazowieckie,25.11,13,1577,5403412,292,
Małopolskie,25.11,9,933,3400577,274,
Wielkopolskie,25.11,2,1420,3493969,406,
Dolnośląskie,25.11,7,825,2901225,284,
Łódzkie,25.11,12,1010,2466322,410,
Pomorskie,25.11,10,1126,2333523,483,
Kujawsko-Pomorskie,25.11,5,1321,2077775,636,
Podkarpackie,25.11,8,590,2129015,277,
Lubelskie,25.11,14,932,2117619,440,
Zachodniopomorskie,25.11,3,1011,1701030,594,
Świętokrzyskie,25.11,4,303,1241546,244,
Warmińsko-Mazurskie,25.11,11,858,1428983,600,
Opolskie,25.11,1,459,986506,465,
Podlaskie,25.11,6,449,1181533,380,
Lubuskie,25.11,15,504,1014548,497,

